Date,Open,High,Low,Close,Volume,Symbol,Currency
,,,,,BTC-USD,,INR
2015-04-03,15705.773105722968,15890.028886167449,15631.610949540862,15783.224055617991,23146600,BTC,INR
2015-04-04,15781.299831942595,15841.311557818903,15583.26672361756,15744.436554759684,12493500,BTC,INR
2015-04-05,15748.408106971592,16177.49010041426,15635.520949322206,16172.711737881764,19649200,BTC,INR
2015-04-06,16180.346133192303,16247.18449709809,15798.924660213466,15855.834143589484,20034200,BTC,INR
2015-04-07,15842.304919352115,15875.258196753683,15651.842759986117,15712.350693148794,18467400,BTC,INR
2015-04-08,15768.164008149175,15816.952250304748,15216.791744740915,15267.07553215441,30086400,BTC,INR
2015-04-09,15219.106928054007,15304.109045408084,14886.370230517585,15152.26051984937,21643500,BTC,INR
2015-04-10,15185.547730415712,15185.547730415712,14504.891658788547,14710.590801423825,28882000,BTC,INR
2015-04-11,14707.101232683344,14926.50858036807,14592.38094721298,14740.501254794188,16365200,BTC,INR
2015-04-12,14739.442023301845,14813.78219834424,14550.006933338474,14715.637839809235,12387900,BTC,INR
2015-04-13,14692.370597590634,14753.705601588588,13823.469284389283,13984.80847883213,31181800,BTC,INR
2015-04-14,14022.938675908139,14036.47722562903,13496.607920279726,13673.548701597843,31719000,BTC,INR
2015-04-15,13651.31461978238,13947.928913559239,13624.893735152495,13947.928913559239,22562000,BTC,INR
2015-04-16,13970.181957905877,14329.235757036135,13970.181957905877,14260.669208634645,24805400,BTC,INR
2015-04-17,14246.16530862503,14266.795770091005,13832.757223101624,13891.343815465516,20429800,BTC,INR
2015-04-18,13889.535927794524,13980.718706335814,13766.318064457151,13920.886278701539,12939000,BTC,INR
2015-04-19,13927.118308111325,14107.676928542205,13859.619713977387,13873.768027960205,15021500,BTC,INR
2015-04-20,13922.822122415528,14156.670297426637,13883.107661439572,14048.784196288321,18364700,BTC,INR
2015-04-21,14183.629694497678,14856.060935410613,14163.486423935392,14856.060935410613,24978000,BTC,INR
2015-04-22,14814.182482436881,14959.241495023016,14680.50341275928,14724.517819717294,23847900,BTC,INR
2015-04-23,14730.125484615624,14882.554833873755,14676.379707914894,14881.736648125925,17036000,BTC,INR
2015-04-24,14933.833172004088,14955.033775802469,14551.76939832297,14636.257966553092,21448700,BTC,INR
2015-04-25,14634.169194301301,14718.088009582483,14324.189791173792,14327.543608108826,13957200,BTC,INR
2015-04-26,14328.80961847503,14362.604659493898,13598.730121068307,13887.065671916818,28943700,BTC,INR
2015-04-27,13967.752781535033,14851.029023980722,13878.253480272833,14595.199762605596,38574000,BTC,INR
2015-04-28,14457.10215028748,14490.31385162659,14084.576539264528,14260.484292385865,21469200,BTC,INR
2015-04-29,14219.677931864047,14311.012111594842,14083.46293970733,14233.355792985472,18936500,BTC,INR
2015-04-30,14318.41517536901,15198.356392265994,14274.005968038691,14981.511678142704,33818600,BTC,INR
2015-05-01,14987.55252152646,15179.837150705745,14742.353707349219,14742.353707349219,18815300,BTC,INR
2015-05-02,14758.997283590725,14974.086258366297,14758.997283590725,14923.45764513337,12535500,BTC,INR
2015-05-03,14920.282270620111,15451.334579441524,14869.653657387184,15268.261056489197,18494100,BTC,INR
2015-05-04,15268.134080280026,15413.093416232849,15106.404191876527,15183.140470712211,21223400,BTC,INR
2015-05-05,15189.315197105461,15211.69928050245,14757.009729335143,15015.642539644496,23929100,BTC,INR
2015-05-06,14964.956625684863,14977.942262034048,14520.409047589055,14555.31126780261,29587200,BTC,INR
2015-05-07,14620.283048147277,15221.423991530608,14550.95702078659,15108.682380472716,29064400,BTC,INR
2015-05-08,15200.506565365475,15781.794339251706,15140.910774034914,15627.229367026128,27445500,BTC,INR
2015-05-09,15621.205056624021,15879.77616425464,15356.547058512455,15497.078448058106,19790500,BTC,INR
2015-05-10,15490.478205367923,15640.36531670019,15305.921730358154,15398.64878436597,15019100,BTC,INR
2015-05-11,15308.006894712744,15560.97600180999,15249.208811686021,15426.433187944756,20892300,BTC,INR
2015-05-12,15502.122360658248,15549.240593661207,15371.137111484073,15435.989399343263,19282600,BTC,INR
2015-05-13,15500.406303021125,15648.476849966682,15092.474033121951,15178.003130200319,27180100,BTC,INR
